DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
BOOKKEEPER,4,73.96408839779005,IBK,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.25,0.4,0.7311201780415431,0.2037080497535791,16.0,48.0,289.0,24.0
BOOKKEEPER,4,73.96408839779005,IBK,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.19801980198019803,0.5,0.7077893175074184,0.15528983738935606,20.0,81.0,256.0,20.0
BOOKKEEPER,4,73.96408839779005,IBK,BEST_FIRST,NONE,NONE,0.37142857142857144,0.325,0.7067878338278932,0.27485770363101075,13.0,22.0,315.0,27.0
BOOKKEEPER,4,73.96408839779005,IBK,BEST_FIRST,OVERSAMPLING,NONE,0.25,0.4,0.7311201780415431,0.2037080497535791,16.0,48.0,289.0,24.0
BOOKKEEPER,4,73.96408839779005,IBK,BEST_FIRST,UNDERSAMPLING,NONE,0.19801980198019803,0.5,0.7077893175074184,0.15528983738935606,20.0,81.0,256.0,20.0
BOOKKEEPER,4,73.96408839779005,IBK,NONE,NONE,NONE,0.3333333333333333,0.3,0.6998887240356083,0.23932950488902674,12.0,24.0,313.0,28.0
BOOKKEEPER,4,73.96408839779005,IBK,NONE,OVERSAMPLING,NONE,0.17391304347826086,0.3,0.6749629080118694,0.09917634160739888,12.0,57.0,280.0,28.0
BOOKKEEPER,4,73.96408839779005,IBK,NONE,UNDERSAMPLING,NONE,0.16129032258064516,0.375,0.6264094955489614,0.09063019601414499,15.0,78.0,259.0,25.0
BOOKKEEPER,5,77.89133942980096,IBK,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.5714285714285714,0.2909090909090909,0.740909090909091,0.3245577288692683,16.0,12.0,344.0,39.0
BOOKKEEPER,5,77.89133942980096,IBK,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.37735849056603776,0.36363636363636365,0.7382788559754851,0.27516987395611814,20.0,33.0,323.0,35.0
BOOKKEEPER,5,77.89133942980096,IBK,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.2926829268292683,0.6545454545454545,0.7198161389172625,0.26937009458643585,36.0,87.0,269.0,19.0
