@relation BOOKKEEPER_TR1.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
177,181,176,1.3333333333333333,2,0,60.333333333333336,177,176,59.0,0,3,2,False
46,47,46,0.5,1,0,23.5,46,46,23.0,0,2,2,False
128,137,127,1.8,5,0,27.4,128,127,25.6,0,5,3,False
149,152,148,1.0,2,0,50.666666666666664,149,148,49.666666666666664,0,3,2,False
58,59,58,0.5,1,0,29.5,58,58,29.0,0,2,2,False
149,152,149,1.5,3,0,76.0,149,149,74.5,0,2,2,False
74,78,74,2.0,4,0,39.0,74,74,37.0,0,2,2,False
37,37,37,0.0,0,0,37.0,37,37,37.0,0,1,1,False
38,40,38,1.0,2,0,20.0,38,38,19.0,0,2,2,False
39,40,39,0.5,1,0,20.0,39,39,19.5,0,2,2,False
96,107,95,2.75,5,0,26.75,96,95,24.0,0,4,2,False
88,91,87,1.0,2,0,30.333333333333332,88,87,29.333333333333332,0,3,2,False
71,78,70,1.75,3,0,19.5,71,70,17.75,0,4,2,False
114,123,113,2.25,4,0,30.75,114,113,28.5,0,4,2,False
336,414,329,13.0,35,0,69.0,336,329,56.0,0,6,3,False
84,93,83,2.25,5,0,23.25,84,83,21.0,0,4,2,False
58,63,58,1.6666666666666667,3,0,21.0,58,58,19.333333333333332,0,3,2,False
123,130,122,1.75,4,0,32.5,123,122,30.75,0,4,2,False
369,369,369,0.0,0,0,369.0,369,369,369.0,0,1,1,False
231,243,224,2.4,6,0,48.6,231,224,46.2,0,5,2,False
586,645,585,14.75,48,0,161.25,586,585,146.5,0,4,2,False
366,390,365,4.8,14,0,78.0,366,365,73.2,0,5,2,False
99,108,98,2.25,4,0,27.0,99,98,24.75,0,4,2,False
41,41,41,0.0,0,0,41.0,41,41,41.0,0,1,1,False
66,79,65,6.5,13,0,39.5,66,65,33.0,0,2,2,False
54,55,45,0.3333333333333333,1,0,18.333333333333332,54,45,18.0,0,3,3,False
47,51,47,2.0,4,0,25.5,47,47,23.5,0,2,2,False
183,203,185,5.0,16,0,50.75,187,185,46.75,0,4,3,False
49,49,49,0.0,0,0,49.0,49,49,49.0,0,1,1,False
50,50,50,0.0,0,0,50.0,50,50,50.0,0,1,1,False
98,100,97,1.0,2,0,50.0,98,97,49.0,0,2,2,False
138,138,138,0.0,0,0,138.0,138,138,138.0,0,1,1,False
43,43,43,0.0,0,0,43.0,43,43,43.0,0,1,1,False
42,42,42,0.0,0,0,42.0,42,42,42.0,0,1,1,False
56,56,56,0.0,0,0,56.0,56,56,56.0,0,1,1,False
162,163,162,0.5,1,0,81.5,162,162,81.0,0,2,2,False
6367,12222,6127,2927.5,5855,0,6111.0,6367,6095,3183.5,0,2,2,False
153,155,153,1.0,2,0,77.5,153,153,76.5,0,2,2,False
43,43,43,0.0,0,0,43.0,43,43,43.0,0,1,1,False
41,42,41,0.5,1,0,21.0,41,41,20.5,0,2,2,False
105,155,104,16.666666666666668,48,0,51.666666666666664,105,104,35.0,0,3,2,False
105,148,103,8.6,39,0,29.6,105,103,21.0,0,5,3,False
92,126,91,8.5,31,0,31.5,92,91,23.0,0,4,3,False
101,151,100,16.666666666666668,48,0,50.333333333333336,101,100,33.666666666666664,0,3,2,False
45,45,45,0.0,0,0,45.0,45,45,45.0,0,1,1,False
289,290,289,0.5,1,0,145.0,289,289,144.5,0,2,2,False
32,35,31,1.5,3,0,17.5,32,31,16.0,0,2,2,False
111,111,111,0.0,0,0,111.0,111,111,111.0,0,1,1,False
35,36,35,0.5,1,0,18.0,35,35,17.5,0,2,2,False
81,81,81,0.0,0,0,81.0,81,81,81.0,0,1,1,False
27,27,27,0.0,0,0,27.0,27,27,27.0,0,1,1,False
28,28,28,0.0,0,0,28.0,28,28,28.0,0,1,1,False
29,30,29,0.5,1,0,15.0,29,29,14.5,0,2,2,False
566,600,561,8.5,32,0,150.0,566,561,141.5,0,4,3,False
64,80,64,8.0,16,0,40.0,64,64,32.0,0,2,2,False
29,30,29,0.5,1,0,15.0,29,29,14.5,0,2,2,False
64,65,64,0.5,1,0,32.5,64,64,32.0,0,2,2,False
37,40,37,1.5,3,0,20.0,37,37,18.5,0,2,2,False
68,79,68,5.5,11,0,39.5,68,68,34.0,0,2,2,False
154,165,153,3.6666666666666665,9,0,55.0,154,153,51.333333333333336,0,3,2,False
72,73,72,0.5,1,0,36.5,72,72,36.0,0,2,2,False
385,400,364,2.5,8,0,66.66666666666667,385,364,64.16666666666667,0,6,3,False
76,78,76,1.0,2,0,39.0,76,76,38.0,0,2,2,False
159,163,158,1.3333333333333333,2,0,54.333333333333336,159,158,53.0,0,3,2,False
737,886,736,49.666666666666664,144,0,295.3333333333333,737,736,245.66666666666666,0,3,2,False
74,76,74,1.0,2,0,38.0,74,74,37.0,0,2,2,False
94,97,93,1.0,2,0,32.333333333333336,94,93,31.333333333333332,0,3,2,False
22,22,22,0.0,0,0,22.0,22,22,22.0,0,1,1,False
427,439,426,4.0,10,0,146.33333333333334,427,426,142.33333333333334,0,3,2,False
62,62,62,0.0,0,0,62.0,62,62,62.0,0,1,1,False
58,59,58,0.5,1,0,29.5,58,58,29.0,0,2,2,False
91,96,91,2.5,5,0,48.0,91,91,45.5,0,2,2,False
27,28,27,0.5,1,0,14.0,27,27,13.5,0,2,2,False
77,79,77,1.0,2,0,39.5,77,77,38.5,0,2,2,False
704,742,703,12.666666666666666,36,0,247.33333333333334,704,703,234.66666666666666,0,3,2,False
63,67,63,2.0,4,0,33.5,63,63,31.5,0,2,2,False
37,37,37,0.0,0,0,37.0,37,37,37.0,0,1,1,False
64,65,64,0.5,1,0,32.5,64,64,32.0,0,2,2,False
124,127,124,1.5,3,0,63.5,124,124,62.0,0,2,2,False
160,167,159,1.75,3,0,41.75,160,159,40.0,0,4,2,False
36,41,36,2.5,5,0,20.5,36,36,18.0,0,2,2,False
58,60,57,1.0,2,0,30.0,58,57,29.0,0,2,2,False
62,62,62,0.0,0,0,62.0,62,62,62.0,0,1,1,False
130,142,129,3.0,8,0,35.5,130,129,32.5,0,4,2,False
74,76,73,1.0,2,0,38.0,74,73,37.0,0,2,2,False
83,86,82,1.0,2,0,28.666666666666668,83,82,27.666666666666668,0,3,2,False
74,74,74,0.0,0,0,74.0,74,74,74.0,0,1,1,False
48,50,48,1.0,2,0,25.0,48,48,24.0,0,2,2,False
60,61,60,0.5,1,0,30.5,60,60,30.0,0,2,2,False
70,76,70,2.0,4,0,25.333333333333332,70,70,23.333333333333332,0,3,2,False
183,202,180,4.75,12,0,50.5,183,180,45.75,0,4,2,False
53,53,53,0.0,0,0,53.0,53,53,53.0,0,1,1,False
452,472,450,5.0,17,0,118.0,452,450,113.0,0,4,2,False
39,39,39,0.0,0,0,39.0,39,39,39.0,0,1,1,False
78,82,78,2.0,4,0,41.0,78,78,39.0,0,2,2,False
64,65,64,0.5,1,0,32.5,64,64,32.0,0,2,2,False
31,32,31,0.5,1,0,16.0,31,31,15.5,0,2,2,False
57,61,57,2.0,4,0,30.5,57,57,28.5,0,2,2,False
104,111,104,3.5,7,0,55.5,104,104,52.0,0,2,2,False
32,32,32,0.0,0,0,32.0,32,32,32.0,0,1,1,False
227,279,226,17.333333333333332,50,0,93.0,227,226,75.66666666666667,0,3,2,False
197,208,187,2.75,6,0,52.0,197,187,49.25,0,4,3,False
75,81,75,3.0,6,0,40.5,75,75,37.5,0,2,2,False
28,28,28,0.0,0,0,28.0,28,28,28.0,0,1,1,False
52,54,52,1.0,2,0,27.0,52,52,26.0,0,2,2,False
429,506,428,25.666666666666668,75,0,168.66666666666666,429,428,143.0,0,3,2,False
103,134,104,15.0,30,0,67.0,104,104,52.0,0,2,2,False
35,35,35,0.0,0,0,35.0,35,35,35.0,0,1,1,False
98,99,98,0.5,1,0,49.5,98,98,49.0,0,2,2,False
79,94,78,5.0,13,0,31.333333333333332,79,78,26.333333333333332,0,3,2,False
