ID,Size,Predicted,Actual
0,126,9.46249478732505E-6,False
1,22,9.366749515548078E-6,False
2,75,9.086227751480153E-6,False
3,131,9.53497894052308E-6,False
4,223,1.2470895696597206E-5,False
5,40,9.21725366815217E-6,False
6,381,3.471070927433869E-5,True
7,46,9.148588571746509E-6,False
8,26,9.366749515548078E-6,False
9,66,9.083330913975342E-6,False
10,95,9.163186125292462E-6,False
11,33,9.260799929878966E-6,False
12,103,9.19745415181421E-6,False
13,219,1.2224258929840758E-5,False
14,328,2.2810515414017157E-5,True
15,59,9.10406386779528E-6,False
16,376,3.330255134772862E-5,False
17,33,9.260799929878966E-6,False
18,36,9.260799929878966E-6,False
19,44,9.179874380910954E-6,False
20,70,9.08182851309246E-6,False
21,69,9.083330913975342E-6,False
22,31,9.310599036672477E-6,False
23,27,9.310599036672477E-6,False
24,33,9.260799929878966E-6,False
25,27,9.310599036672477E-6,False
26,27,9.310599036672477E-6,False
27,40,9.21725366815217E-6,False
28,60,9.10406386779528E-6,False
29,69,9.083330913975342E-6,False
30,85,9.112776994618399E-6,False
31,85,9.112776994618399E-6,False
32,86,9.112776994618399E-6,True
33,50,9.148588571746509E-6,True
34,125,9.46249478732505E-6,False
35,151,9.894587141631591E-6,False
36,242,1.3596265692852973E-5,False
37,47,9.148588571746509E-6,False
38,72,9.08182851309246E-6,False
39,51,9.123334877533676E-6,False
40,51,9.123334877533676E-6,False
41,106,9.237850197745362E-6,True
42,87,9.112776994618399E-6,False
43,80,9.096537207414494E-6,False
44,76,9.086227751480153E-6,False
45,41,9.179874380910954E-6,False
46,63,9.090737883418146E-6,False
47,55,9.123334877533676E-6,False
48,106,9.237850197745362E-6,False
49,72,9.08182851309246E-6,False
50,86,9.112776994618399E-6,False
51,55,9.123334877533676E-6,False
52,135,9.614262667574042E-6,False
53,63,9.090737883418146E-6,False
54,412,4.72350918769339E-5,False
55,533,1.8405671677686642E-4,False
56,71,0.7981584577667531,False
57,50,0.007057093645883636,False
58,39,7.393434888935777E-4,False
59,106,2.4721741917059753E-5,False
60,37,7.170787963423072E-4,False
61,92,2.444644837287611E-5,False
62,79,0.9820654843678018,False
63,321,1.0,False
64,631,1.0,False
65,140,0.9999999999999993,False
66,318,1.0,False
67,356,1.0,False
68,187,1.0,False
69,143,1.0,False
70,186,1.0,False
71,138,0.9999999999999969,False
72,36,5.405121865452591E-4,False
73,37,7.170787963423072E-4,False
74,120,0.9999999999000958,False
75,139,0.9999999999999993,False
76,885,1.0,False
77,33,3.6391701367764653E-4,False
78,43,9.179874380910954E-6,False
79,99,9.19745415181421E-6,False
80,288,1.0,False
81,126,9.46249478732505E-6,True
82,146,9.793883934796014E-6,False
83,204,1.1558198981926187E-5,False
84,150,9.894587141631591E-6,False
85,38,9.21725366815217E-6,False
86,43,9.179874380910954E-6,False
87,47,9.148588571746509E-6,False
88,32,9.260799929878966E-6,False
89,93,9.134978827678815E-6,False
90,93,9.134978827678815E-6,False
91,282,1.7153400378557717E-5,True
92,251,1.425192664786119E-5,False
93,251,1.425192664786119E-5,False
94,130,9.53497894052308E-6,False
95,53,9.123334877533676E-6,False
96,125,9.46249478732505E-6,False
97,50,9.148588571746509E-6,False
98,106,9.237850197745362E-6,False
99,34,9.260799929878966E-6,False
100,66,9.083330913975342E-6,False
101,40,9.21725366815217E-6,False
102,140,9.700505988459633E-6,False
103,84,9.096537207414494E-6,False
104,39,9.21725366815217E-6,False
105,34,9.260799929878966E-6,False
106,38,9.21725366815217E-6,False
107,149,9.894587141631591E-6,False
108,761,0.007078956804208937,False
109,46,9.148588571746509E-6,False
110,204,1.1558198981926187E-5,False
111,153,1.0002822495704232E-5,False
112,57,9.10406386779528E-6,False
113,320,0.9999997715391568,False
114,1553,1.0,True
115,174,1.0515833356783558E-5,True
116,432,1.3795909733945182E-4,False
117,40,9.21725366815217E-6,False
118,92,9.134978827678815E-6,False
119,112,2.3011989262196548E-5,False
120,86,2.1898595267347244E-5,False
121,798,0.043965369781906766,True
122,396,3.945610261338628E-5,True
123,177,1.0665454733535639E-5,False
124,167,1.03750493919668E-5,True
125,351,2.733880810185284E-5,False
126,205,1.1768437362263977E-5,False
127,68,9.083330913975342E-6,False
128,277,1.6672744717561906E-5,False
129,476,9.108043577398927E-5,True
130,101,9.19745415181421E-6,False
131,29,3.0210027244322182E-5,False
132,68,9.083330913975342E-6,False
133,79,9.086227751480153E-6,False
134,70,9.08182851309246E-6,False
135,79,9.086227751480153E-6,False
136,186,1.099251879463458E-5,False
137,124,9.46249478732505E-6,True
138,130,3.112802301869069E-4,False
139,2596,1.0,True
140,682,0.12219469578855657,True
141,47,4.9540923019239745E-5,False
142,81,9.096537207414494E-6,False
143,64,9.090737883418146E-6,True
144,124,2.7951708835564843E-5,True
145,46,9.148588571746509E-6,True
146,89,2.1915121662363424E-5,True
147,152,1.0002822495704232E-5,True
148,72,9.08182851309246E-6,True
149,88,2.1870825806421298E-5,True
150,94,9.163186125292462E-6,True
151,83,9.096537207414494E-6,True
152,75,9.086227751480153E-6,True
153,74,9.08182851309246E-6,True
154,60,4.04957482822111E-5,True
155,122,4.063363465305309E-5,True
156,157,1.011881384323674E-5,True
157,84,0.03668121319060472,True
158,82,2.1831850526554234E-5,True
159,75,9.086227751480153E-6,True
160,200,1.1558198981926187E-5,True
161,81,9.096537207414494E-6,True
162,49,9.148588571746509E-6,False
163,64,9.090737883418146E-6,True
164,90,9.134978827678815E-6,False
165,79,9.086227751480153E-6,True
166,72,2.274143742130999E-5,True
167,350,0.9996100699277101,True
168,584,3.5526658121210614E-4,True
169,115,2.2409814748616577E-5,False
170,89,4.617455908487683E-4,False
171,59,8.17147676098802E-5,False
172,123,9.46249478732505E-6,False
173,293,1.819210391766453E-5,False
174,120,2.47339989157871E-5,False
175,63,9.090737883418146E-6,False
176,29,9.310599036672477E-6,False
177,214,0.003752618666282149,False
178,71,9.08182851309246E-6,True
179,36,9.260799929878966E-6,False
180,82,3.0944821799506865E-4,False
181,51,9.123334877533676E-6,False
182,173,1.0515833356783558E-5,True
183,98,9.163186125292462E-6,False
184,174,1.0515833356783558E-5,False
185,1455,0.999999999998898,True
186,61,9.090737883418146E-6,False
187,47,9.148588571746509E-6,False
188,192,1.1170673929917953E-5,False
189,187,2.6772890514103895E-5,True
190,479,0.05436583082952183,True
191,104,9.237850197745362E-6,False
192,1181,0.9963599987510074,True
193,958,0.9969191537698614,True
194,856,0.04963072287797395,True
195,422,0.0010837318969002644,True
196,45,9.179874380910954E-6,True
197,978,0.9999999999999446,True
198,136,0.0012503783472075313,True
199,61,9.090737883418146E-6,True
200,287,5.748902832616771E-4,True
201,44,9.179874380910954E-6,False
202,485,3.003563076952559E-4,False
203,225,3.139946054195011E-5,False
204,112,9.284453800001533E-6,False
205,144,2.3459458261568975E-5,True
206,135,2.3399284399660313E-5,False
207,325,0.7310679557186698,True
208,128,0.9999999999986586,False
209,68,9.083330913975342E-6,False
210,217,4.415926363705996E-4,True
211,127,2.273897869033232E-5,False
212,122,9.396664661481569E-6,False
213,48,9.148588571746509E-6,False
214,266,0.8255225495858111,False
215,83,3.069257404301602E-4,False
216,83,3.069257404301602E-4,False
217,98,8.980170908386875E-4,False
218,249,4.993297244296613E-4,True
219,622,0.9798316273302811,True
220,50,7.472646496768215E-4,True
221,169,1.03750493919668E-5,False
222,1048,0.9968770170257416,True
223,147,9.894587141631591E-6,False
224,189,0.9654534964825082,False
225,110,9.284453800001533E-6,False
226,154,2.95525627405354E-5,True
227,57,9.663360180737743E-4,True
228,93,2.295044203731518E-5,False
229,41,4.049712286751806E-5,True
230,63,9.65098610298734E-5,False
231,68,1.2429766347304505E-4,False
232,66,1.1522660674689236E-4,False
233,35,3.456716611340661E-5,False
234,112,0.0024997410379487485,False
235,494,1.0,True
236,39,3.8038913575520685E-5,False
237,176,0.796730520453825,True
238,68,1.2429766347304505E-4,False
239,82,9.096537207414494E-6,False
240,139,9.700505988459633E-6,False
241,59,9.10406386779528E-6,False
242,132,3.3609471745329165E-4,False
243,418,4.948888655302658E-5,False
244,77,9.086227751480153E-6,False
245,79,9.086227751480153E-6,True
246,152,1.0002822495704232E-5,False
247,250,1.425192664786119E-5,False
248,730,0.6916611531104369,True
249,409,4.511323302959283E-5,True
250,66,9.083330913975342E-6,False
251,127,9.46249478732505E-6,False
252,326,2.2810515414017157E-5,False
253,54,9.123334877533676E-6,False
254,982,0.9997024666788352,True
255,370,0.9578642040788476,True
256,27,9.310599036672477E-6,False
257,1069,1.0,True
258,200,2.7795968980280837E-5,True
259,50,9.148588571746509E-6,False
260,41,9.179874380910954E-6,False
261,142,0.005279390214087393,True
262,139,8.50198165856777E-5,False
263,1377,1.0,True
264,53,9.123334877533676E-6,False
265,293,1.819210391766453E-5,False
266,42,9.179874380910954E-6,False
267,31,9.310599036672477E-6,False
268,36,9.260799929878966E-6,False
269,81,9.096537207414494E-6,False
270,219,3.182328339755359E-5,False
271,207,1.1768437362263977E-5,False
272,593,0.016188185519266686,True
273,951,0.9999810586754063,True
274,223,3.0351660859594812E-5,False
275,44,4.5040062894731194E-5,False
276,137,0.028834662044263864,True
277,34,9.260799929878966E-6,False
278,176,3.169192884869181E-5,True
279,108,2.9973984555320073E-5,True
280,107,3.071318657891577E-5,False
281,45,9.179874380910954E-6,False
282,167,3.3714835918328186E-4,True
283,37,9.21725366815217E-6,False
284,154,0.005443028622388736,True
285,139,2.7632549094346237E-5,True
286,93,9.134978827678815E-6,False
287,44,9.179874380910954E-6,False
288,959,0.9999999999999758,True
289,34,9.260799929878966E-6,False
290,1712,1.0,True
291,602,0.999999999990057,True
292,178,2.7001029946572387E-5,True
293,68,9.083330913975342E-6,False
294,159,1.011881384323674E-5,True
295,38,9.21725366815217E-6,False
296,132,3.112802301869069E-4,True
297,171,2.528925192299426E-5,True
298,63,2.4486410543167813E-5,True
299,48,2.3687676456598417E-5,False
300,80,9.096537207414494E-6,False
301,38,9.21725366815217E-6,False
302,33,9.260799929878966E-6,False
303,39,3.8038913575520685E-5,False
304,57,9.10406386779528E-6,False
305,82,2.7421698520402956E-4,False
306,89,9.112776994618399E-6,False
307,143,4.6438817772892485E-5,False
308,379,3.471070927433869E-5,False
309,156,1.0002822495704232E-5,False
310,43,9.179874380910954E-6,False
311,60,9.10406386779528E-6,True
312,45,9.179874380910954E-6,True
313,182,1.0824235122595586E-5,True
314,143,9.793883934796014E-6,False
315,82,9.096537207414494E-6,False
316,34,9.260799929878966E-6,False
317,177,1.0665454733535639E-5,False
318,37,9.21725366815217E-6,False
319,461,1.8602048446493574E-4,False
320,84,9.096537207414494E-6,False
321,38,9.21725366815217E-6,False
322,193,1.1170673929917953E-5,False
323,295,1.819210391766453E-5,False
324,110,9.284453800001533E-6,False
325,38,9.21725366815217E-6,False
326,313,2.0622159340451478E-5,False
