VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,NUMBER_OF_AUTHORS,IS_BUGGY
0,src/java/jmx/org/apache/zookeeper/server/util/EventInfo.java,30,36,28,12.0,6,5,2.0,30,28,10.0,0,3,1,False
0,src/java/jmx/org/apache/zookeeper/server/util/ObservableComponent.java,34,40,32,13.333333333333334,6,5,2.0,34,32,11.333333333333334,0,3,1,False
0,src/java/jmx/org/apache/zookeeper/server/util/ObserverManager.java,95,101,93,33.666666666666664,6,5,2.0,95,93,31.666666666666668,0,3,1,False
0,src/java/jmx/org/apache/zookeeper/server/util/QuorumPeerObserver.java,69,78,67,26.0,9,5,3.0,69,67,23.0,0,3,1,False
0,src/java/jmx/org/apache/zookeeper/server/util/ServerObserver.java,38,45,36,15.0,7,5,2.3333333333333335,38,36,12.666666666666666,0,3,1,False
0,src/java/jmx/org/apache/zookeeper/server/util/ZooKeeperObserverManager.java,61,71,59,23.666666666666668,10,5,3.3333333333333335,61,59,20.333333333333332,0,3,1,False
0,src/java/main/org/apache/jute/BinaryInputArchive.java,132,133,132,44.333333333333336,1,1,0.3333333333333333,132,132,44.0,0,3,1,False
0,src/java/main/org/apache/jute/BinaryOutputArchive.java,149,150,149,50.0,1,1,0.3333333333333333,149,149,49.666666666666664,0,3,1,False
0,src/java/main/org/apache/jute/CsvInputArchive.java,210,211,210,70.33333333333333,1,1,0.3333333333333333,210,210,70.0,0,3,1,False
0,src/java/main/org/apache/jute/CsvOutputArchive.java,151,152,148,38.0,1,1,0.25,151,148,37.75,0,4,2,False
0,src/java/main/org/apache/jute/Index.java,39,40,39,13.333333333333334,1,1,0.3333333333333333,39,39,13.0,0,3,1,False
0,src/java/main/org/apache/jute/InputArchive.java,45,46,45,15.333333333333334,1,1,0.3333333333333333,45,45,15.0,0,3,1,False
0,src/java/main/org/apache/jute/OutputArchive.java,48,49,48,16.333333333333332,1,1,0.3333333333333333,48,48,16.0,0,3,1,False
0,src/java/main/org/apache/jute/Record.java,33,34,33,11.333333333333334,1,1,0.3333333333333333,33,33,11.0,0,3,1,False
0,src/java/main/org/apache/jute/RecordReader.java,98,99,98,33.0,1,1,0.3333333333333333,98,98,32.666666666666664,0,3,1,False
0,src/java/main/org/apache/jute/RecordWriter.java,117,118,117,39.333333333333336,1,1,0.3333333333333333,117,117,39.0,0,3,1,False
0,src/java/main/org/apache/jute/Utils.java,278,281,276,70.25,3,2,0.75,278,276,69.5,0,4,2,True
0,src/java/main/org/apache/jute/XmlInputArchive.java,251,252,251,84.0,1,1,0.3333333333333333,251,251,83.66666666666667,0,3,1,False
0,src/java/main/org/apache/jute/XmlOutputArchive.java,252,253,252,84.33333333333333,1,1,0.3333333333333333,252,252,84.0,0,3,1,False
0,src/java/main/org/apache/jute/compiler/CGenerator.java,88,92,84,30.666666666666668,4,3,1.3333333333333333,88,84,29.333333333333332,0,3,1,False
0,src/java/main/org/apache/jute/compiler/CppGenerator.java,83,87,79,21.75,4,3,1.0,83,79,20.75,0,4,1,False
0,src/java/main/org/apache/jute/compiler/JBoolean.java,43,44,43,14.666666666666666,1,1,0.3333333333333333,43,43,14.333333333333334,0,3,1,False
0,src/java/main/org/apache/jute/compiler/JBuffer.java,107,114,107,38.0,7,7,2.3333333333333335,107,107,35.666666666666664,0,3,1,False
0,src/java/main/org/apache/jute/compiler/JByte.java,35,36,35,12.0,1,1,0.3333333333333333,35,35,11.666666666666666,0,3,1,False
0,src/java/main/org/apache/jute/compiler/JCompType.java,55,56,55,18.666666666666668,1,1,0.3333333333333333,55,55,18.333333333333332,0,3,1,False
0,src/java/main/org/apache/jute/compiler/JDouble.java,41,42,41,14.0,1,1,0.3333333333333333,41,41,13.666666666666666,0,3,1,False
0,src/java/main/org/apache/jute/compiler/JField.java,99,100,99,33.333333333333336,1,1,0.3333333333333333,99,99,33.0,0,3,1,False
0,src/java/main/org/apache/jute/compiler/JFile.java,75,80,73,20.0,5,4,1.25,75,73,18.75,0,4,1,False
0,src/java/main/org/apache/jute/compiler/JFloat.java,40,41,40,13.666666666666666,1,1,0.3333333333333333,40,40,13.333333333333334,0,3,1,False
0,src/java/main/org/apache/jute/compiler/JInt.java,35,36,35,12.0,1,1,0.3333333333333333,35,35,11.666666666666666,0,3,1,False
0,src/java/main/org/apache/jute/compiler/JLong.java,39,40,39,13.333333333333334,1,1,0.3333333333333333,39,39,13.0,0,3,1,False
0,src/java/main/org/apache/jute/compiler/JMap.java,101,103,101,34.333333333333336,2,2,0.6666666666666666,101,101,33.666666666666664,0,3,1,False
0,src/java/main/org/apache/jute/compiler/JRecord.java,508,512,508,128.0,4,2,1.0,508,508,127.0,0,4,1,False
0,src/java/main/org/apache/jute/compiler/JString.java,47,48,47,16.0,1,1,0.3333333333333333,47,47,15.666666666666666,0,3,1,False
0,src/java/main/org/apache/jute/compiler/JType.java,142,143,142,47.666666666666664,1,1,0.3333333333333333,142,142,47.333333333333336,0,3,1,False
