DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
ZOOKEEPER,3,74.03993855606758,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.47058823529411764,0.2,0.6044573643410853,0.1624561827632055,8.0,9.0,120.0,32.0
ZOOKEEPER,3,74.03993855606758,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.5384615384615384,0.525,0.6927325581395349,0.3888182973316391,21.0,18.0,111.0,19.0
ZOOKEEPER,3,74.03993855606758,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.5384615384615384,0.525,0.7565891472868217,0.3888182973316391,21.0,18.0,111.0,19.0
ZOOKEEPER,3,74.03993855606758,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.49019607843137253,0.625,0.7117248062015504,0.3867598902557748,25.0,26.0,103.0,15.0
ZOOKEEPER,3,74.03993855606758,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.49019607843137253,0.625,0.7146317829457365,0.3867598902557748,25.0,26.0,103.0,15.0
ZOOKEEPER,4,77.22419928825623,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.07142857142857142,0.037037037037037035,0.4791245791245791,-0.05227655986509295,1.0,13.0,152.0,26.0
ZOOKEEPER,4,77.22419928825623,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.07142857142857142,0.037037037037037035,0.5863075196408529,-0.05227655986509295,1.0,13.0,152.0,26.0
ZOOKEEPER,4,77.22419928825623,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.2,0.14814814814814814,0.5255892255892256,0.057401812688821593,4.0,16.0,149.0,23.0
ZOOKEEPER,4,77.22419928825623,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.2,0.14814814814814814,0.6421997755331089,0.057401812688821593,4.0,16.0,149.0,23.0
ZOOKEEPER,4,77.22419928825623,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.25396825396825395,0.5925925925925926,0.6538720538720538,0.1975789018590574,16.0,47.0,118.0,11.0
ZOOKEEPER,4,77.22419928825623,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.25396825396825395,0.5925925925925926,0.6551066217732885,0.1975789018590574,16.0,47.0,118.0,11.0
ZOOKEEPER,4,77.22419928825623,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.07142857142857142,0.037037037037037035,0.4791245791245791,-0.05227655986509295,1.0,13.0,152.0,26.0
ZOOKEEPER,4,77.22419928825623,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.07142857142857142,0.037037037037037035,0.5863075196408529,-0.05227655986509295,1.0,13.0,152.0,26.0
ZOOKEEPER,4,77.22419928825623,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.2,0.14814814814814814,0.5255892255892256,0.057401812688821593,4.0,16.0,149.0,23.0
ZOOKEEPER,4,77.22419928825623,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.2,0.14814814814814814,0.6421997755331089,0.057401812688821593,4.0,16.0,149.0,23.0
ZOOKEEPER,4,77.22419928825623,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.25396825396825395,0.5925925925925926,0.6538720538720538,0.1975789018590574,16.0,47.0,118.0,11.0
ZOOKEEPER,4,77.22419928825623,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.25396825396825395,0.5925925925925926,0.6551066217732885,0.1975789018590574,16.0,47.0,118.0,11.0
ZOOKEEPER,5,81.44927536231884,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.2647058823529412,0.2647058823529412,0.5532390171258377,0.10647803425167551,9.0,25.0,133.0,25.0
ZOOKEEPER,5,81.44927536231884,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.2647058823529412,0.2647058823529412,0.6945271779597915,0.10647803425167551,9.0,25.0,133.0,25.0
ZOOKEEPER,5,81.44927536231884,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.3,0.4411764705882353,0.6098287416232315,0.1854179761156505,15.0,35.0,123.0,19.0
ZOOKEEPER,5,81.44927536231884,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.3409090909090909,0.4411764705882353,0.7334326135517498,0.23097463284379177,15.0,29.0,129.0,19.0
ZOOKEEPER,5,81.44927536231884,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.3,0.6176470588235294,0.6537602382725242,0.21725407680168343,21.0,49.0,109.0,13.0
ZOOKEEPER,5,81.44927536231884,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.30434782608695654,0.6176470588235294,0.643801191362621,0.22354813046937144,21.0,48.0,110.0,13.0
ZOOKEEPER,5,81.44927536231884,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.2647058823529412,0.2647058823529412,0.5532390171258377,0.10647803425167551,9.0,25.0,133.0,25.0
ZOOKEEPER,5,81.44927536231884,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.2647058823529412,0.2647058823529412,0.6945271779597915,0.10647803425167551,9.0,25.0,133.0,25.0
ZOOKEEPER,5,81.44927536231884,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.3,0.4411764705882353,0.6098287416232315,0.1854179761156505,15.0,35.0,123.0,19.0
ZOOKEEPER,5,81.44927536231884,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.3409090909090909,0.4411764705882353,0.7334326135517498,0.23097463284379177,15.0,29.0,129.0,19.0
ZOOKEEPER,5,81.44927536231884,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.3,0.6176470588235294,0.6537602382725242,0.21725407680168343,21.0,49.0,109.0,13.0
