VERSION_INDEX,JAVA_CLASS,SIZE,IS_BUGGY
0,src/java/main/org/apache/zookeeper/ClientWatchManager.java,39,False
0,src/java/main/org/apache/zookeeper/CreateMode.java,89,False
0,src/java/main/org/apache/zookeeper/KeeperException.java,336,True
0,src/java/main/org/apache/zookeeper/ServerAdminClient.java,312,False
0,src/java/main/org/apache/zookeeper/Version.java,78,False
0,src/java/main/org/apache/zookeeper/WatchedEvent.java,81,False
0,src/java/main/org/apache/zookeeper/Watcher.java,107,False
0,src/java/main/org/apache/zookeeper/ZooDefs.java,112,False
0,src/java/main/org/apache/zookeeper/ZooKeeper.java,1030,True
0,src/java/main/org/apache/zookeeper/ZooKeeperMain.java,232,False
0,src/java/main/org/apache/zookeeper/server/ByteBufferInputStream.java,72,False
0,src/java/main/org/apache/zookeeper/server/DataNode.java,125,True
0,src/java/main/org/apache/zookeeper/server/DataTree.java,798,True
0,src/java/main/org/apache/zookeeper/server/FinalRequestProcessor.java,265,False
0,src/java/main/org/apache/zookeeper/server/LogFormatter.java,72,False
0,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,873,True
0,src/java/main/org/apache/zookeeper/server/PrepRequestProcessor.java,460,False
0,src/java/main/org/apache/zookeeper/server/PurgeTxnLog.java,94,True
0,src/java/main/org/apache/zookeeper/server/Request.java,197,False
0,src/java/main/org/apache/zookeeper/server/RequestProcessor.java,37,False
0,src/java/main/org/apache/zookeeper/server/ServerCnxn.java,78,True
0,src/java/main/org/apache/zookeeper/server/ServerConfig.java,69,False
0,src/java/main/org/apache/zookeeper/server/ServerStats.java,140,False
0,src/java/main/org/apache/zookeeper/server/SessionTracker.java,58,False
0,src/java/main/org/apache/zookeeper/server/SessionTrackerImpl.java,219,False
0,src/java/main/org/apache/zookeeper/server/SyncRequestProcessor.java,132,True
0,src/java/main/org/apache/zookeeper/server/TraceFormatter.java,119,False
0,src/java/main/org/apache/zookeeper/server/WatchManager.java,113,False
0,src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java,610,False
0,src/java/main/org/apache/zookeeper/server/ZooKeeperServerMain.java,80,True
0,src/java/main/org/apache/zookeeper/server/ZooTrace.java,92,False
0,src/java/main/org/apache/zookeeper/server/auth/AuthenticationProvider.java,81,False
0,src/java/main/org/apache/zookeeper/server/auth/DigestAuthenticationProvider.java,127,False
0,src/java/main/org/apache/zookeeper/server/auth/HostAuthenticationProvider.java,67,False
0,src/java/main/org/apache/zookeeper/server/auth/IPAuthenticationProvider.java,115,False
0,src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java,78,False
0,src/java/main/org/apache/zookeeper/server/persistence/FileSnap.java,159,True
0,src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,485,True
0,src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java,246,True
0,src/java/main/org/apache/zookeeper/server/persistence/SnapShot.java,60,False
0,src/java/main/org/apache/zookeeper/server/persistence/TxnLog.java,114,False
0,src/java/main/org/apache/zookeeper/server/persistence/Util.java,305,True
0,src/java/main/org/apache/zookeeper/server/quorum/AckRequestProcessor.java,45,False
0,src/java/main/org/apache/zookeeper/server/quorum/AuthFastLeaderElection.java,898,False
0,src/java/main/org/apache/zookeeper/server/quorum/CommitProcessor.java,189,True
0,src/java/main/org/apache/zookeeper/server/quorum/Election.java,26,False
0,src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java,626,True
0,src/java/main/org/apache/zookeeper/server/quorum/Follower.java,378,False
0,src/java/main/org/apache/zookeeper/server/quorum/FollowerHandler.java,395,False
0,src/java/main/org/apache/zookeeper/server/quorum/FollowerRequestProcessor.java,107,False
0,src/java/main/org/apache/zookeeper/server/quorum/FollowerSessionTracker.java,85,False
0,src/java/main/org/apache/zookeeper/server/quorum/FollowerSyncRequest.java,34,False
0,src/java/main/org/apache/zookeeper/server/quorum/FollowerZooKeeperServer.java,177,False
0,src/java/main/org/apache/zookeeper/server/quorum/Leader.java,633,False
0,src/java/main/org/apache/zookeeper/server/quorum/LeaderElection.java,194,False
0,src/java/main/org/apache/zookeeper/server/quorum/LeaderZooKeeperServer.java,88,False
0,src/java/main/org/apache/zookeeper/server/quorum/ProposalRequestProcessor.java,76,False
0,src/java/main/org/apache/zookeeper/server/quorum/QuorumCnxManager.java,564,True
0,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeer.java,590,True
0,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java,230,True
0,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,110,False
0,src/java/main/org/apache/zookeeper/server/quorum/QuorumStats.java,81,False
0,src/java/main/org/apache/zookeeper/server/quorum/SendAckRequestProcessor.java,54,False
0,src/java/main/org/apache/zookeeper/server/quorum/Vote.java,69,False
0,src/java/main/org/apache/zookeeper/server/upgrade/DataNodeV1.java,129,False
0,src/java/main/org/apache/zookeeper/server/upgrade/DataTreeV1.java,582,False
0,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeMain.java,181,False
0,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShot.java,33,False
0,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShotV1.java,323,True
0,src/java/main/org/apache/zookeeper/server/util/Profiler.java,40,False
0,src/java/main/org/apache/zookeeper/server/util/SerializeUtils.java,105,False
0,src/java/main/org/apache/zookeeper/version/util/VerGen.java,120,True
1,src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java,29,False
1,src/java/jmx/org/apache/zookeeper/jmx/MBeanRegistry.java,175,False
1,src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java,36,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,112,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java,68,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,88,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeMXBean.java,46,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerBean.java,117,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerMXBean.java,74,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerBean.java,28,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerMXBean.java,26,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java,29,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionBean.java,43,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionMXBean.java,34,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java,26,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java,53,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerMXBean.java,34,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumBean.java,44,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java,33,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerBean.java,45,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerMXBean.java,33,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerBean.java,38,False
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerMXBean.java,33,False
1,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServer.java,125,False
1,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServerMain.java,86,False
1,src/java/jmx/org/apache/zookeeper/server/ObservableDataTree.java,115,False
1,src/java/jmx/org/apache/zookeeper/server/ObservableNIOServerCnxn.java,85,False
1,src/java/jmx/org/apache/zookeeper/server/ObservableZooKeeperServer.java,56,False
1,src/java/jmx/org/apache/zookeeper/server/ZooKeeperObserverNotifier.java,76,False
1,src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeer.java,225,False
1,src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeerMain.java,137,False
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollower.java,78,False
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollowerZooKeeperServer.java,55,False
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeader.java,82,False
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeaderZooKeeperServer.java,55,False
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableQuorumPeer.java,115,False
1,src/java/jmx/org/apache/zookeeper/server/util/ConnectionObserver.java,38,False
1,src/java/jmx/org/apache/zookeeper/server/util/DataTreeObserver.java,53,False
1,src/java/jmx/org/apache/zookeeper/server/util/EventInfo.java,30,False
1,src/java/jmx/org/apache/zookeeper/server/util/ObservableComponent.java,34,False
1,src/java/jmx/org/apache/zookeeper/server/util/ObserverManager.java,95,False
1,src/java/jmx/org/apache/zookeeper/server/util/QuorumPeerObserver.java,69,False
1,src/java/jmx/org/apache/zookeeper/server/util/ServerObserver.java,38,False
1,src/java/jmx/org/apache/zookeeper/server/util/ZooKeeperObserverManager.java,61,False
1,src/java/main/org/apache/jute/BinaryInputArchive.java,132,False
1,src/java/main/org/apache/jute/BinaryOutputArchive.java,149,False
1,src/java/main/org/apache/jute/CsvInputArchive.java,210,False
1,src/java/main/org/apache/jute/CsvOutputArchive.java,151,False
1,src/java/main/org/apache/jute/Index.java,39,False
1,src/java/main/org/apache/jute/InputArchive.java,45,False
1,src/java/main/org/apache/jute/OutputArchive.java,48,False
1,src/java/main/org/apache/jute/Record.java,33,False
1,src/java/main/org/apache/jute/RecordReader.java,98,False
1,src/java/main/org/apache/jute/RecordWriter.java,117,False
1,src/java/main/org/apache/jute/Utils.java,278,True
1,src/java/main/org/apache/jute/XmlInputArchive.java,251,False
1,src/java/main/org/apache/jute/XmlOutputArchive.java,252,False
1,src/java/main/org/apache/jute/compiler/CGenerator.java,88,False
1,src/java/main/org/apache/jute/compiler/CppGenerator.java,83,False
1,src/java/main/org/apache/jute/compiler/JBoolean.java,43,False
1,src/java/main/org/apache/jute/compiler/JBuffer.java,107,False
1,src/java/main/org/apache/jute/compiler/JByte.java,35,False
1,src/java/main/org/apache/jute/compiler/JCompType.java,55,False
1,src/java/main/org/apache/jute/compiler/JDouble.java,41,False
1,src/java/main/org/apache/jute/compiler/JField.java,99,False
1,src/java/main/org/apache/jute/compiler/JFile.java,75,False
1,src/java/main/org/apache/jute/compiler/JFloat.java,40,False
1,src/java/main/org/apache/jute/compiler/JInt.java,35,False
1,src/java/main/org/apache/jute/compiler/JLong.java,39,False
1,src/java/main/org/apache/jute/compiler/JMap.java,101,False
1,src/java/main/org/apache/jute/compiler/JRecord.java,508,False
1,src/java/main/org/apache/jute/compiler/JString.java,47,False
1,src/java/main/org/apache/jute/compiler/JType.java,142,False
1,src/java/main/org/apache/jute/compiler/JVector.java,106,False
1,src/java/main/org/apache/jute/compiler/JavaGenerator.java,62,False
1,src/java/main/org/apache/jute/compiler/generated/ParseException.java,210,False
1,src/java/main/org/apache/jute/compiler/generated/Rcc.java,525,False
1,src/java/main/org/apache/jute/compiler/generated/RccConstants.java,88,False
1,src/java/main/org/apache/jute/compiler/generated/RccTokenManager.java,833,False
1,src/java/main/org/apache/jute/compiler/generated/SimpleCharStream.java,457,False
1,src/java/main/org/apache/jute/compiler/generated/Token.java,99,False
1,src/java/main/org/apache/jute/compiler/generated/TokenMgrError.java,151,False
1,src/java/main/org/apache/zookeeper/AsyncCallback.java,52,False
1,src/java/main/org/apache/zookeeper/ClientCnxn.java,1045,True
1,src/java/main/org/apache/zookeeper/ClientWatchManager.java,39,False
1,src/java/main/org/apache/zookeeper/CreateMode.java,89,False
1,src/java/main/org/apache/zookeeper/Environment.java,100,False
1,src/java/main/org/apache/zookeeper/KeeperException.java,336,True
1,src/java/main/org/apache/zookeeper/ServerAdminClient.java,312,False
1,src/java/main/org/apache/zookeeper/Version.java,78,False
1,src/java/main/org/apache/zookeeper/WatchedEvent.java,81,False
1,src/java/main/org/apache/zookeeper/Watcher.java,107,False
1,src/java/main/org/apache/zookeeper/ZooDefs.java,112,False
1,src/java/main/org/apache/zookeeper/ZooKeeper.java,1040,True
1,src/java/main/org/apache/zookeeper/ZooKeeperMain.java,232,True
1,src/java/main/org/apache/zookeeper/server/ByteBufferInputStream.java,72,False
1,src/java/main/org/apache/zookeeper/server/DataNode.java,125,False
1,src/java/main/org/apache/zookeeper/server/DataTree.java,798,True
1,src/java/main/org/apache/zookeeper/server/FinalRequestProcessor.java,265,True
1,src/java/main/org/apache/zookeeper/server/LogFormatter.java,72,False
1,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,888,True
1,src/java/main/org/apache/zookeeper/server/PrepRequestProcessor.java,460,True
1,src/java/main/org/apache/zookeeper/server/PurgeTxnLog.java,94,True
1,src/java/main/org/apache/zookeeper/server/Request.java,197,True
1,src/java/main/org/apache/zookeeper/server/RequestProcessor.java,37,False
1,src/java/main/org/apache/zookeeper/server/ServerCnxn.java,80,True
1,src/java/main/org/apache/zookeeper/server/ServerConfig.java,67,False
1,src/java/main/org/apache/zookeeper/server/ServerStats.java,140,False
1,src/java/main/org/apache/zookeeper/server/SessionTracker.java,58,True
1,src/java/main/org/apache/zookeeper/server/SessionTrackerImpl.java,219,True
1,src/java/main/org/apache/zookeeper/server/SyncRequestProcessor.java,144,False
1,src/java/main/org/apache/zookeeper/server/TraceFormatter.java,119,False
1,src/java/main/org/apache/zookeeper/server/WatchManager.java,113,False
1,src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java,616,True
1,src/java/main/org/apache/zookeeper/server/ZooKeeperServerMain.java,86,True
1,src/java/main/org/apache/zookeeper/server/ZooTrace.java,92,False
1,src/java/main/org/apache/zookeeper/server/auth/AuthenticationProvider.java,81,False
1,src/java/main/org/apache/zookeeper/server/auth/DigestAuthenticationProvider.java,127,True
1,src/java/main/org/apache/zookeeper/server/auth/HostAuthenticationProvider.java,67,False
1,src/java/main/org/apache/zookeeper/server/auth/IPAuthenticationProvider.java,115,False
1,src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java,78,True
1,src/java/main/org/apache/zookeeper/server/persistence/FileSnap.java,159,True
1,src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,485,True
1,src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java,246,True
1,src/java/main/org/apache/zookeeper/server/persistence/SnapShot.java,60,False
1,src/java/main/org/apache/zookeeper/server/persistence/TxnLog.java,114,False
